vr_id,Kavaler_id,Kavaler_eid,VR_Nr,Liik_ja_järk,Otsus_kp,Otsus_tekst,Täpsustus
VRA-0001,VRK-1195,66eabcbb2e92de098dfcbd57,1,I/1,1920-02-23,"Sõjawägede Ülemjuhatajale Kindralstaabi Kindral-Leitnant Johann Jaagu p. LAIDONER’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud wastutusrikkal Sõjawägede Ülemjuhataja kohal olles, kõige hiilgawamalt meie wabaduse wõitlust lõpuni wiies ja kaitstes meid iseennast ärasalgawalt waenlaste eest, kui esimene Eesti kangelastest, keda isamaa jäädawalt tänuga mäletama saab.",
VRA-0002,VRK-2569,66eabd8d2e92de098dfd02e5,2,I/1,1920-02-23,"Sõjawägede Ülemjuhataja Staabi ülemale Kindralstaabi Kindral-Major Jaan Henriku p. SOOTS’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0003,VRK-1218,66eabcbf2e92de098dfcbe9d,3,I/1,1920-02-23,"Sõjawäe Ringkonna Ülemale Kindralstaabi Kindral-Major Andres Jaani p. LARKA’le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0004,VRK-2796,66eabdb02e92de098dfd0e57,4,I/1,1920-02-23,"I Diwiisi ülemale kindral-major Aleksander Jaani p. TÕNISSON’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0005,VRK-2015,66eabd392e92de098dfce6b9,5,I/1,1920-02-23,"Kolmanda diwiisi ülemale, Kindral-Major Ernst Jakobi p. PÕDDER’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabaduse sõja algul, korraldades kõigeraskematel aegadel Wabariigi sisemist kaitset ja julgeolekut ja juhatades 3st diwiisi kõigeparemate tagajärgedega, iseäranis sõjakäiku Landeswehri wastu, mis hiilgawalt korda läks.",
VRA-0006,VRK-2089,66eabd462e92de098dfcea89,6,I/1,1920-02-23,"II Diwiisi ülemale Polkownik Wiktor Johani p. PUSKAR’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",Täpsustus: ei võtnud VRi vastu.
VRA-0007,VRK-2007,66eabd382e92de098dfce676,7,I/1,1920-02-23,"Merejõudude Juhatajale Aseadmiral Johan Jüri p. PITKA’le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga merewäe organiseerimise ja korraldamise töös.",
VRA-0008,VRK-2200,66eabd562e92de098dfcf01c,8,I/1,1920-02-23,"Sõjawäe Warustuse ülemale Polkownik Rudolf Gustawi p. REIMANN’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0009,VRK-1898,66eabd252e92de098dfce0e0,9,I/1,1920-02-23,"Soomusrongide Diwiisi ülemale Polkownik Karl Tootsi p. PARTS’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Wabadussõja kestusel oma wäsimata kaastööga sõjawäe organiseerimise ja korraldamise töös.",
VRA-0010,VRK-2255,66eabd5e2e92de098dfcf2e9,10,I/2,1920-02-23,"Kindralstaabi Walitsuse ülemale polkownik Jaan Jaagu p. RINK’i-le, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud meie wabaduse wõitluse algusest peale wäsimata Eesti sõjawäe organiseerimise alal töötades. Kõikide sõjaliste operatsioonide plaanide wäljatöötamise ja läbiwiimise juures olite Teie oma kindla waimu ja tahtejõuga kõigesuuremaks toeks.","Täpsustus: ei võtnud vastu, hindas oma teeneid kõrgema järgu vääriliseks."
