,,
id,kavaler_id,failinimi
F-0001,VRK-0003,"0003, aalberg, viktor.png"
F-0002,VRK-0004,"0004, aalbok, eduard.png"
F-0003,VRK-0007,"0007, aaren, jakob.png"
F-0004,VRK-0008,"0008, aarna, hans.png"
F-0005,VRK-0009,"0009, aas, joosep.png"
F-0006,VRK-0010,"0010, aas, rudolf.png"
F-0007,VRK-0011,"0011, aasa, arseni.png"
F-0008,VRK-0012,"0012, aasjõe, madis.png"
F-0009,VRK-0013,"0013, aasma, juhan.png"
F-0010,VRK-0014,"0014, aavasalu, andres.png"
F-0011,VRK-0015,"0015, aaviste, voldemar-otto.png"
F-0012,VRK-0016,"0016, abel, eduard-karl-adolf.png"
F-0013,VRK-0017,"0017, abłamowicz, konstanty.png"
F-0014,VRK-0018,"0018, abrams, bernhard-johannes.png"
F-0015,VRK-0019,"0019, adachi, mineichirō.png"
F-0016,VRK-0020,"0020, adamson, edgar.png"
F-0017,VRK-0022,"0022, ader, rudolf.png"
F-0018,VRK-0023,"0023, adissoo, villem.png"
F-0019,VRK-0024,"0024, adler, alvin-amandus.png"
F-0020,VRK-0025,"0025, aejmelaeus-äimä, carl bror emil.png"
F-0021,VRK-0026,"0026, agar, augustus willington shelton.png"
F-0022,VRK-0027,"0027, agger, georg-voldemar.png"
F-0023,VRK-0028,"0028, ahas, august.png"
F-0024,VRK-0031,"0031, ahman, eduard.png"
F-0025,VRK-0034,"0034, ahtmann, georgi.png"
F-0026,VRK-0039,"0039, aimla, rudolf.png"
F-0027,VRK-0040,"0040, aindt, eduard-voldemar.png"
F-0028,VRK-0041,"0041, ainison, peeter-nikolai.png"
F-0029,VRK-0042,"0042, ainson, hans-karl.png"
F-0030,VRK-0043,"0043, aire, eduards.png"
F-0031,VRK-0045,"0045, aks, richard-johannes.png"
F-0032,VRK-0046,"0046, ala, villu.png"
F-0033,VRK-0047,"0047, alamäe, karl.png"
F-0034,VRK-0050,"0050, alatare, rain.png"
F-0035,VRK-0052,"0052, albats, hermanis.png"
F-0036,VRK-0053,"0053, albert i.png"
F-0037,VRK-0054,"0054, alekand, richard.png"
F-0038,VRK-0056,"0056, alexander-sinclair, edwyn sinclair.png"
F-0039,VRK-0057,"0057, alfthan, kristian axel.png"
F-0040,VRK-0058,"0058, algus, august.png"
F-0041,VRK-0059,"0059, aljes, peeter.png"
F-0042,VRK-0060,"0060, alkio, santeri.png"
F-0043,VRK-0061,"0061, allik, jaan.png"
F-0044,VRK-0062,"0062, allikas, jaan.png"
F-0045,VRK-0064,"0064, allikmäe, aleksander.png"
F-0046,VRK-0068,"0068, alt, martin.png"
F-0047,VRK-0069,"0069, altoa, aleksander.png"
F-0048,VRK-0070,"0070, alujev, august.png"
F-0049,VRK-0071,"0071, alupere, jaan.png"
F-0050,VRK-0072,"0072, alvear, marcelo torcuato de.png"
F-0051,VRK-0073,"0073, alver, eduard-hans-christian.png"
F-0052,VRK-0074,"0074, ambus, johannes-aleksander.png"
F-0053,VRK-0076,"0076, ananitš, mihhail.png"
F-0054,VRK-0079,"0079, anderson, ernst.png"
F-0055,VRK-0080,"0080, anderson, viktor.png"
F-0056,VRK-0082,"0082, andreimann, daniel.png"
F-0057,VRK-0084,"0084, andrekson, johan.png"
F-0058,VRK-0085,"0085, andresmaa, bernhard-heinrich.png"
F-0059,VRK-0086,"0086, andresson, aleksander.png"
F-0060,VRK-0087,"0087, andresson, andres.png"
F-0061,VRK-0089,"0089, angelus, oskar-georg-richard.png"
F-0062,VRK-0090,"0090, animägi, nikolai.png"
F-0063,VRK-0091,"0091, anni, anton.png"
F-0064,VRK-0092,"0092, anni, johannes-alexander.png"
F-0065,VRK-0093,"0093, annik, ferdinand-johannes.png"
F-0066,VRK-0094,"0094, anniste, johannes.png"
F-0067,VRK-0095,"0095, annuk, otto.png"
F-0068,VRK-0096,"0096, ant, evald.png"
F-0069,VRK-0097,"0097, ant, jakob.png"
F-0070,VRK-0099,"0099, anttila, einari.png"
F-0071,VRK-0100,"0100, aparnieks, artūrs osvalds.png"
F-0072,VRK-0101,"0101, arak, viktor.png"
F-0073,VRK-0103,"0103, archen, charles théophile.png"
F-0074,VRK-0104,"0104, ardel, karl.png"
F-0075,VRK-0107,"0107, arjak, johan.png"
F-0076,VRK-0108,"0108, ärma, johannes.png"
F-0077,VRK-0109,"0109, arol, aleksander.png"
F-0078,VRK-0110,"0110, aron, aleksander.png"
F-0079,VRK-0111,"0111, aron, august-eduard.png"
F-0080,VRK-0113,"0113, arras, paul.png"
F-0081,VRK-0114,"0114, artti, pontus kaarlo.png"
F-0082,VRK-0116,"0116, asmus, peeter.png"
F-0083,VRK-0118,"0118, aud, otto-mihail.png"
F-0084,VRK-0119,"0119, auer, ilmari.png"
F-0085,VRK-0120,"0120, augjärv, leonhard-theodor.png"
F-0086,VRK-0121,"0121, aukštuolis, jonas.png"
F-0087,VRK-0123,"0123, auniņš, jānis alfrēds.png"
F-0088,VRK-0124,"0124, aus, johannes.png"
F-0089,VRK-0125,"0125, avik, eduard-johannes.png"
F-0090,VRK-0126,"0126, aviste, johannes.png"
F-0091,VRK-0127,"0127, bach, eduard-adolf.png"
F-0092,VRK-0130,"0130, bachstein, aleksis-roland.png"
F-0093,VRK-0134,"0134, bajer, michał ignacy.png"
F-0094,VRK-0135,"0135, balder, august.png"
F-0095,VRK-0136,"0136, baldwin, stanley.png"
F-0096,VRK-0137,"0137, balfour, arthur james.png"
F-0097,VRK-0138,"0138, balin, aleksander.png"
F-0098,VRK-0139,"0139, balodis, jānis.png"
F-0099,VRK-0140,"0140, bangerskis, rūdolfs.png"
F-0100,VRK-0141,"0141, bartels, ado.png"
F-0101,VRK-0142,"0142, bartland, aleksander-ferdinand.png"
F-0102,VRK-0144,"0144, bauer, heinrich-nikolai.png"
F-0103,VRK-0145,"0145, bauer, mihkel.png"
F-0104,VRK-0146,"0146, baum, georg.png"
