Kavaler_EID,Surname,Forename,Name
66d84c15f2daf46b31440cf4,LAIDONER,Johan,"LAIDONER, Johan"
66d84c15f2daf46b31440cf5,SOOTS,Jaan,"SOOTS, Jaan"
66d84c15f2daf46b31440cfc,LARKA,Andres,"LARKA, Andres"
66d84c15f2daf46b31440cfd,TÕNISSON,Aleksander,"TÕNISSON, Aleksander"
66d84c15f2daf46b31440cf8,PÕDDER,Ernst-Johannes,"PÕDDER, Ernst-Johannes"
66d84c15f2daf46b31440cff,PUSKAR,Viktor-Hugo,"PUSKAR, Viktor-Hugo"
66d84c15f2daf46b31440cf9,PITKA,Johan,"PITKA, Johan"
66d84c16f2daf46b31440d26,REIMANN,Rudolf-Johannes,"REIMANN, Rudolf-Johannes"
66d84c16f2daf46b31440d25,PARTS,Karl,"PARTS, Karl"
66d84c16f2daf46b31440d29,RINK,Jaan,"RINK, Jaan"
66d84c16f2daf46b31440d28,LILL,Paul-Adolf,"LILL, Paul-Adolf"
66d84c16f2daf46b31440d30,LOSSMANN,Arthur-Alexander,"LOSSMANN, Arthur-Alexander"
66d84c16f2daf46b31440d4a,PÄTS,Konstantin,"PÄTS, Konstantin"
66d84c16f2daf46b31440d49,POSKA,Jaan,"POSKA, Jaan"
66d84c16f2daf46b31440d4b,UNT,Johan,"UNT, Johan"
66d84c16f2daf46b31440d48,KANN,Peeter,"KANN, Peeter"
66d84c16f2daf46b31440d4c,VAHTRAMÄE,Hendrik,"VAHTRAMÄE, Hendrik"
66d84c16f2daf46b31440d70,LEHTMETS,Eduard-Julius,"LEHTMETS, Eduard-Julius"
66d84c16f2daf46b31440d6b,IVANOV,Feodor,"IVANOV, Feodor"
66d84c16f2daf46b31440d6c,MUTRA,August-Eduard,"MUTRA, August-Eduard"
66d84c16f2daf46b31440d71,PAGAR,Johannes,"PAGAR, Johannes"
66d84c16f2daf46b31440d72,KOOV,Johan,"KOOV, Johan"
66d84c16f2daf46b31440d8f,HIOB,Richard-Eduard,"HIOB, Richard-Eduard"
66d84c16f2daf46b31440d90,HURSTEL,R.,"HURSTEL, R."
66d84c16f2daf46b31440d8e,MÄND,Johannes,"MÄND, Johannes"
66d84c16f2daf46b31440d94,RUUSMAA,August,"RUUSMAA, August"
66d84c16f2daf46b31440d92,JOHANSON,Eduard,"JOHANSON, Eduard"
66d84c17f2daf46b31440db5,LEETS,Nikolai,"LEETS, Nikolai"
66d84c17f2daf46b31440db2,VALDMANN,Hans,"VALDMANN, Hans"
66d84c17f2daf46b31440db3,KANASAAR,Peeter-Victor,"KANASAAR, Peeter-Victor"
66d84c17f2daf46b31440db1,KÜBAR,Rudolf,"KÜBAR, Rudolf"
66d84c17f2daf46b31440db8,NÕMMIK,Martin,"NÕMMIK, Martin"
66d84c17f2daf46b31440dd4,UUE,Aleksander,"UUE, Aleksander"
66d84c17f2daf46b31440dd7,MÜLLER,Nikolai-Aleksander,"MÜLLER, Nikolai-Aleksander"
66d84c17f2daf46b31440dd5,TÕNSON,Hans,"TÕNSON, Hans"
66d84c17f2daf46b31440dd6,JÜRVETSON,Voldemar,"JÜRVETSON, Voldemar"
66d84c17f2daf46b31440dd8,OTSA,Tavid,"OTSA, Tavid"
66d84c17f2daf46b31440dfb,ROST,Georg-Aleksander,"ROST, Georg-Aleksander"
66d84c17f2daf46b31440dfa,JÜRIS,Johan,"JÜRIS, Johan"
66d84c17f2daf46b31440df9,VALDMANN,Arnold-Friedrich,"VALDMANN, Arnold-Friedrich"
66d84c17f2daf46b31440df8,KLEMENT,Daniel-Rudolf,"KLEMENT, Daniel-Rudolf"
66d84c17f2daf46b31440df7,LEKSTEIN,Mihkel,"LEKSTEIN, Mihkel"
66d84c18f2daf46b31440e1b,KUUSIK,Edgar-Johann,"KUUSIK, Edgar-Johann"
66d84c18f2daf46b31440e1c,TEDRE,Hermann-Rudolf,"TEDRE, Hermann-Rudolf"
66d84c18f2daf46b31440e1e,MÄGI,Juhan,"MÄGI, Juhan"
66d84c18f2daf46b31440e1d,PRISKE,Jüri,"PRISKE, Jüri"
66d84c18f2daf46b31440e1a,LÕOKE,Konstantin,"LÕOKE, Konstantin"
66d84c18f2daf46b31440e43,GRANT,Johannes,"GRANT, Johannes"
66d84c18f2daf46b31440e40,LELL,Nikolai,"LELL, Nikolai"
66d84c18f2daf46b31440e3d,NURKLIK,Gustav,"NURKLIK, Gustav"
66d84c18f2daf46b31440e3e,VALLER,Mihkel,"VALLER, Mihkel"
66d84c18f2daf46b31440e3f,TILLING,Hartvig,"TILLING, Hartvig"
66d84c18f2daf46b31440e63,WALLER,Joosep,"WALLER, Joosep"
66d84c18f2daf46b31440e60,KLAMAS,Johannes,"KLAMAS, Johannes"
66d84c18f2daf46b31440e64,TÄNAV,Ernst-Alfred,"TÄNAV, Ernst-Alfred"
66d84c18f2daf46b31440e62,HEIN,Tiido,"HEIN, Tiido"
66d84c18f2daf46b31440e61,VEINBERG,August,"VEINBERG, August"
66d84c18f2daf46b31440e83,PRUUL,Kaarel,"PRUUL, Kaarel"
66d84c18f2daf46b31440e86,SILDAM,Joosep,"SILDAM, Joosep"
66d84c18f2daf46b31440e85,KEDDER,Johannes,"KEDDER, Johannes"
66d84c18f2daf46b31440e84,REI,Elmar,"REI, Elmar"
66d84c18f2daf46b31440e88,VIIL,Eduard-Ferdi,"VIIL, Eduard-Ferdi"
66d84c19f2daf46b31440ead,LEPP,Jaan,"LEPP, Jaan"
66d84c19f2daf46b31440ea6,TILGRE,Aleksander-Robert,"TILGRE, Aleksander-Robert"
66d84c19f2daf46b31440eaa,ASMUS,Peeter,"ASMUS, Peeter"
66d84c19f2daf46b31440ea7,TESLON,Edgar-Paul-Ernst,"TESLON, Edgar-Paul-Ernst"
66d84c19f2daf46b31440ea8,REINBERG,Richard-Heinrich,"REINBERG, Richard-Heinrich"
66d84c19f2daf46b31440ecb,VASSERMANN,Teodor,"VASSERMANN, Teodor"
