eid,mille_eest
66d878a7f2daf46b3144d6c0,"Miiniristleja „Kalew’i“ ülemale masinistile Johannes Johannese p. KLEESMENT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 18 mail 1919 a. Luuga jõel.
(Täpsustus: tegelikult oli miiniristlejal Wambola.)"
66d878ddf2daf46b3144f690,"Soomusrongi Nr 2 wanemale alamohwitserile Johannes MOISSAR’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 21 weebruaril 1919 a. Uderna mõisa all.
(Täpsustus: uus diplom nr 2801 väljastati 29.01.1924.)"
66d8793cf2daf46b31453064,"hinnates vahvust, mis 1. Ratsapolgu reamees Villem Mardi p. LEMANN Eesti Vabadussõjas üles näidanud 25. märtsil 1919 Plaani kiriku juures"
66d87928f2daf46b3145249f,"Minister ENCKELL’ile, hinnates sõjalisi teenuseid, mis Teie ülesnäitanud Eesti Wabaduswõitluses Soome abiwägede organiseerimisele ja korraldamisele suure hoole ja püsiwusega kaasa aidates.
Valitsus muutis oma varasemat otsust ja asendas senise teenetemärgi kõrgemaga"
66d87942f2daf46b31453417,"hinnates vahvust, mis Sakala partisanide pataljoni ülem major Otto OIDERMANN Eesti Vabadussõjas üles näidanud 26.–27. augustil 1919 Pokrovski – Katšanovi piirkonnas, kus murdis pataljoni osaga, mille suurus umbes 80 tikku, vaenlase piiramisrõngast välja, tuues kaasa kõik haavatud, terve voori ja staabi, lisaks kaasa tuues sõjasaagina hulga vange, sõjariistu, moona, vaenlase voori ja hulga hobuseid"
66d878e9f2daf46b3144fdf3,"Käskudetäitjale staabi ohwitserile Sõjaministri juures, Polkownik Siegfried PINDING’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes – 23 mail 1919 a. waenlase frondi läbimurdmisel, 1919 a. suwel Ostrowi, Porhowi ja Strugi-Belaja liinil ja 1919 a. sügisel Isborski liinil"
66d878b9f2daf46b3144e1a3,"Wäljapatarei Nr 13 kapralile Eduard LOOS’ile, hinnates wahwust, mis Teie ülesnäitanud lahingutes – 8 juunil 1919 a. Wõnnu all ja 1 juulil 1919 a. Sila kõrtsi juures"
66d8789ef2daf46b3144d1a8,"4 jalawäe polgu jala maakuulajate komando nooremale alamohwitserile Eduard Hendriku p. LINK’ile, hinnates wahwust, mis Teie ülesnäitanud paljudes lahingutes ja luurekäikudel. Iseäranis hiilgawalt esinesite Teie aga Glubokaja-Kalina juures, kus 5–6 korda suurema waenlase salgaga kokku põrgates need kabuhirmus põgenema sundisite, wõttes neilt ühe korras kuulipilduja lintidega"
66d878f1f2daf46b3145030d,"6 jalawäe polgu leitnandile Gustav LEHT’ile, hinnates wahwust, mis Teie ülesnäitanud lahingus 20–22 juunil 1919 a. Stakelni mõisa all.
(Täpsustus: tegelikult lahingus Stolbeni mõisa all.)"
66d87943f2daf46b31453465,"hinnates vahvust, mis 2. jalaväepolgu 2. pataljoni ülem major Eduard-Ervin LIIBUS Eesti Vabadussõjas üles näidanud Aidu lahingus 2.–4. jaanuaril 1919 a., Reola mõisa võtmisel 17. jaanuaril 1919 a. ja Tõlva küla vallutamisel 22. aprillil 1919"
