Viktor Aalberg      |      VR II/3
Eduard Aalbok      |      VR II/3
Jakob Aaren      |      VR II/3
Hans Aarna      |      VR II/3
Joosep Aas      |      VR II/3
Rudolf Aas      |      VR II/3
Arseni Aasa      |      VR II/3
Madis Aasjõe      |      VR II/3
Juhan Aasma      |      VR II/3
Andres Aavasalu      |      VR II/3
Voldemar-Otto Aaviste      |      VR II/3
Eduard-Karl-Adolf Abel      |      VR II/3
Konstanty Abłamowicz      |      VR I/2
Bernhard-Johannes Abrams      |       VR I/3
Mineichirō Adachi      |      VR III/1
Edgar Adamson      |      VR II/3
Rudolf Ader      |      VR II/3
Villem Adissoo      |      VR III/3
Alvin-Amandus Adler      |      VR I/3
Carl Bror Emil Aejmelaeus-Äimä      |      VR III/2
Augustus Willington Shelton Agar      |      VR I/2
Georg-Voldemar Agger      |      VR I/3
August Ahas      |      VR II/3
Eduard Ahman      |      VR I/3
Georgi Ahtmann      |      VR II/3
Rudolf Aimla      |      VR III/3
Eduard-Voldemar Aindt      |      VR I/3
Peeter-Nikolai Ainison      |      VR II/3, II/3
Hans-Karl Ainson      |      VR I/3
Eduards Aire      |      VR I/3
Richard-Johannes Aks      |      VR I/3
Villu Ala      |      VR II/3
Karl Alamäe      |      VR I/3
Rain Alatare      |      VR II/3
Hermanis Albats      |      VR III/2
Albert I      |      VR I/1
Richard Alekand      |      VR II/3
Edwyn Sinclair Alexander-Sinclair      |      VR I/1
August Algus      |      VR II/3
Peeter Aljes      |      VR II/3
Kristian Axel Alfthan      |      VR I/2
Santeri Alkio      |      VR I/2
Jaan Allik      |      VR II/3
Jaan Allikas      |      VR II/3
Aleksander Allikmäe      |      VR II/3
Martin Alt      |      VR II/3
Aleksander Altoa      |      VR II/3
August Alujev      |      VR II/3
Jaan Alupere      |      VR I/3
Marcelo Torcuato de Alvear      |      VR III/1
Eduard-Hans-Christian Alver      |      VR I/3
Johannes-Aleksander Ambus      |      VR II/3
Mihhail Ananitš      |      VR I/3
Ernst Anderson      |      VR II/3
Viktor Anderson      |      VR I/3
Daniel Andreimann      |      VR II/3
Johan Andrekson      |      VR II/3
Bernhard-Heinrich Andresmaa      |      VR I/3
Aleksander Andresson      |      VR II/3
Andres Andresson      |      VR II/3
Oskar-Georg-Richard Angelus      |      VR I/3
Nikolai Animägi      |      VR II/3
Anton Anni      |      VR II/3
Johannes-Alexander Anni      |      VR II/3
Ferdinand-Johannes Annik      |      VR II/3
Johannes Anniste      |      VR II/3
Otto Annuk      |      VR II/3
Evald Ant      |      VR II/3
Jakob Ant      |      VR II/3
Einari Anttila      |      VR II/3
